ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
6045,A,Flight,4,3,266,5,high,F,5,1590
44,F,Ship,3,1,174,2,low,M,44,1556
7940,F,Road,4,1,154,10,high,M,10,5674
1596,F,Ship,4,3,158,3,medium,F,27,1207
4395,A,Flight,5,3,175,3,low,M,7,4833
1991,C,Ship,3,3,139,4,high,M,17,1137
7896,F,Ship,3,1,220,2,low,F,7,5653
4338,F,Ship,3,2,160,3,low,F,4,4683
3215,C,Ship,5,2,145,4,medium,F,9,4028
10251,A,Road,5,2,155,3,low,F,10,4485
3724,B,Ship,3,2,226,3,medium,M,3,4940
10811,C,Road,4,3,256,3,medium,M,3,4480
4245,A,Flight,3,3,204,3,low,M,6,5296
2810,F,Ship,3,2,207,2,low,M,20,3419
4107,A,Flight,6,1,274,5,low,F,8,4292
6274,B,Ship,6,5,251,4,low,F,8,1038
1759,D,Road,3,2,267,5,low,F,48,2622
9859,D,Road,6,3,166,5,medium,F,3,4596
1883,C,Ship,4,1,201,10,medium,M,37,3402
7191,A,Ship,5,2,303,4,low,F,9,1224
9126,F,Ship,2,4,204,10,low,F,4,4679
3875,C,Ship,2,5,176,3,low,F,4,5463
291,A,Flight,4,4,270,3,low,M,12,3279
2225,C,Ship,4,3,258,3,low,F,12,2017
6989,C,Flight,4,5,133,3,high,F,8,5653
3109,D,Ship,4,3,190,4,medium,M,12,3115
1919,C,Flight,4,5,207,2,medium,F,49,3736
10701,A,Flight,2,5,277,3,medium,F,6,1057
5882,F,Road,3,4,143,3,low,F,1,4392
2934,F,Ship,6,3,273,4,medium,F,32,2532
7721,C,Ship,$7,1,285,4,low,M,2,1516
9432,F,Road,6,5,285,4,low,M,8,1028
7350,F,Ship,4,4,209,3,medium,M,8,5884
8976,F,Ship,3,5,220,4,low,F,5,5677
6835,D,Road,4,4,189,2,low,M,5,4553
8398,B,Ship,3,1,167,3,medium,M,10,4341
5579,C,Ship,4,5,160,5,medium,F,3,4648
10650,F,Ship,4,5,261,10,low,M,7,5208
6541,D,Ship,$7,5,133,5,low,F,7,1239
582,F,Ship,4,2,216,2,medium,F,22,3024
667,D,Road,5,2,254,4,high,M,37,2608
6781,D,Ship,5,5,246,3,medium,F,9,4107
7453,D,Ship,$7,4,295,4,low,F,10,1217
7722,F,Ship,5,1,229,6,low,M,9,1883
6820,B,Ship,6,5,261,4,low,F,9,1266
5316,F,Ship,3,1,219,3,medium,M,6,4893
1552,B,Ship,3,3,246,3,medium,F,45,3945
1705,D,Ship,3,3,245,2,medium,F,16,2577
1250,F,Flight,4,1,247,3,low,F,9,2414
10144,B,Flight,6,4,247,4,medium,M,2,1858
5638,B,Ship,3,2,215,3,medium,F,10,4198
7155,A,Ship,5,4,223,5,low,M,2,1400
1575,A,Ship,6,3,215,5,low,M,13,3899
10279,D,Flight,4,3,164,3,medium,F,4,4495
2745,A,Flight,6,4,249,5,medium,M,43,3078
9240,F,Ship,4,2,217,2,medium,F,8,4907
315,A,Ship,4,2,143,6,medium,M,20,1654
6195,A,Ship,5,2,173,4,high,F,9,4307
10071,A,Ship,3,1,160,2,medium,M,5,4435
160,B,Ship,3,3,149,3,low,F,63,1946
10948,B,Road,4,1,232,5,medium,M,9,1145
1172,F,Ship,3,1,251,3,medium,F,18,2240
9665,C,Ship,2,5,181,5,medium,F,5,1043
3254,F,Ship,3,3,235,3,medium,F,10,4186
3654,F,Ship,5,3,267,3,low,M,9,5258
4286,F,Ship,3,3,150,4,medium,F,8,4357
4592,F,Ship,2,1,235,3,medium,F,6,4411
5656,B,Ship,4,4,198,2,medium,M,2,5725
7434,F,Ship,4,4,144,3,low,F,7,5351
7452,F,Ship,4,1,246,6,low,M,4,1489
2512,B,Ship,3,1,176,2,medium,F,45,1470
5876,F,Road,4,3,176,2,low,F,6,5149
10802,F,Road,5,3,234,5,low,M,7,1691
322,B,Ship,4,5,141,3,medium,M,12,1672
234,F,Ship,2,1,222,2,medium,M,58,3626
3038,F,Ship,5,4,135,2,medium,F,20,1908
771,A,Ship,3,4,179,4,low,F,44,1004
4189,D,Ship,4,5,263,5,low,M,9,5731
3414,F,Road,3,1,188,3,low,M,3,4222
1871,C,Ship,3,1,245,4,high,F,47,3111
4498,B,Road,3,4,260,4,low,F,10,4109
10188,F,Ship,5,2,243,6,medium,M,7,1752
7622,F,Ship,3,4,145,4,high,M,4,5801
8619,A,Road,2,1,258,5,low,F,9,1548
553,D,Flight,3,4,156,2,low,M,8,1145
229,D,Ship,3,2,164,10,high,M,14,1375
2807,C,Ship,3,1,187,4,medium,M,42,3621
5715,A,Ship,4,2,258,7,medium,M,3,4538
6547,D,Ship,6,3,287,4,medium,F,8,1850
8492,F,Flight,3,1,244,3,medium,M,6,4062
4131,A,Ship,6,3,100,4,low,M,3,5756
3281,C,Road,4,3,196,2,medium,F,7,4116
621,A,Ship,2,5,265,2,low,F,50,3859
5233,D,Ship,3,3,259,3,medium,F,4,4259
7041,A,Ship,4,1,260,2,medium,F,2,4529
3333,A,Ship,3,1,187,5,low,F,6,4698
9198,F,Ship,5,3,255,6,medium,F,1,5874
10878,F,Ship,4,4,151,2,low,M,8,5724
7582,B,Ship,5,4,199,4,low,F,7,5740
7086,F,Ship,6,1,260,3,medium,M,1,5134
2873,C,Flight,4,2,257,4,high,M,58,2269
8532,F,Ship,4,2,233,4,high,F,1,4316
9729,A,Flight,4,2,257,3,medium,M,8,5772
5653,D,Ship,3,5,196,3,medium,F,9,4741
10642,B,Ship,3,4,133,4,low,F,10,4571
6940,B,Ship,4,2,224,3,low,M,1,5821
844,B,Ship,5,4,182,5,medium,F,23,3398
8040,F,Ship,4,1,245,5,low,F,3,1537
2638,B,Ship,3,1,254,4,low,F,33,2542
9614,F,Ship,4,4,256,3,low,F,5,5399
5794,B,Ship,5,5,247,3,low,M,1,5226
4316,F,Ship,4,3,151,3,medium,F,6,5379
7524,F,Road,4,1,252,3,low,M,4,5119
1320,F,Ship,4,3,205,3,medium,F,44,2291
8580,F,Ship,5,1,181,3,low,F,3,5118
10592,F,Ship,4,2,222,2,low,M,1,5028
5529,A,Ship,6,4,248,4,low,F,6,1851
6253,D,Ship,5,2,241,2,medium,M,6,4741
7322,F,Ship,6,2,226,4,high,F,7,5600
4988,F,Ship,6,4,260,4,medium,M,1,1726
4896,F,Ship,3,3,162,2,low,F,9,4903
9151,D,Ship,$7,5,255,4,low,F,9,1367
10067,C,Ship,3,3,209,3,low,M,1,5186
2287,D,Ship,5,4,234,2,high,F,61,3084
9279,A,Ship,5,5,221,2,medium,M,10,4255
9068,F,Ship,4,2,184,2,medium,F,10,5959
822,F,Flight,2,1,98,3,low,F,29,1806
6632,F,Ship,3,4,248,3,medium,F,6,4932
3358,B,Ship,3,3,211,6,low,M,5,5777
5625,A,Flight,5,3,143,2,medium,M,5,5612
9445,D,Road,$7,1,269,5,medium,F,5,1402
6370,B,Ship,3,2,154,3,medium,M,1,5322
5640,F,Ship,3,3,183,3,low,F,3,5538
1345,D,Road,3,4,147,3,low,F,2,1307
8961,A,Ship,3,3,206,3,low,F,3,5746
4256,F,Flight,4,3,235,3,medium,F,6,4832
4016,F,Ship,2,5,116,3,low,F,1,4091
10092,F,Ship,4,2,201,2,medium,M,6,5729
9163,D,Road,5,3,222,6,low,M,9,1656
6255,A,Ship,6,1,282,4,low,M,1,1434
3485,C,Ship,4,4,223,4,low,M,1,4219
1606,B,Ship,5,2,140,4,high,M,58,1175
10120,B,Road,3,4,257,3,low,F,4,4883
7025,C,Ship,5,1,153,2,low,F,7,4944
10413,A,Flight,5,5,248,5,medium,M,8,1881
1616,F,Ship,4,5,198,2,medium,M,51,2820
4921,D,Road,4,3,208,3,medium,F,3,4837
3318,F,Ship,5,3,141,3,low,M,9,4857
10351,D,Ship,5,2,241,2,medium,F,2,5448
8633,C,Flight,$7,1,255,4,medium,F,3,1450
10656,F,Ship,4,4,255,6,low,M,5,1708
4121,C,Flight,4,3,208,2,medium,F,1,5826
10096,B,Ship,4,5,243,3,low,M,9,5263
5696,F,Ship,4,2,175,3,medium,M,7,4874
3887,C,Ship,5,4,230,3,low,M,1,4727
9210,F,Ship,5,3,227,5,medium,F,9,4990
