NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,User_Score
41.36,28.96,3.77,8.45,82.54,76,51,324,8
29.08,3.58,6.81,0.77,40.24,0.01,0.01,0.01,0.01
15.68,12.8,3.79,3.29,35.57,82,73,712,8.3
15.61,10.95,3.28,2.95,32.78,80,73,193,8
11.27,8.89,10.22,1,31.37,0.01,0.01,0.01,0.01
23.2,2.26,4.22,0.58,30.26,0.01,0.01,0.01,0.01
11.28,9.15,6.5,2.88,29.81,89,65,433,8.5
13.96,9.18,2.93,2.84,28.92,58,41,129,6.6
14.48,6.95,4.7,2.25,28.38,87,80,595,8.4
26.93,0.63,0.28,0.47,28.31,0.01,0.01,0.01,0.01
9.05,10.95,1.93,2.74,24.67,0.01,0.01,0.01,0.01
9.71,7.48,4.13,1.9,23.22,91,64,465,8.6
9,6.18,7.2,0.71,23.1,0.01,0.01,0.01,0.01
8.92,8.03,3.6,2.15,22.7,80,63,146,7.7
15.02,4.91,0.24,1.69,21.86,61,45,106,6.3
9.01,8.49,2.53,1.77,21.79,80,33,52,7.4
7.02,9.14,0.98,3.97,21.12,97,50,4009,8.2
9.43,0.4,0.41,10.57,20.81,95,80,1606,9
12.78,3.75,3.54,0.55,20.61,0.01,0.01,0.01,0.01
4.74,9.2,4.16,2.04,20.15,77,58,50,7.9
6.38,4.46,6.04,1.36,18.25,0.01,0.01,0.01,0.01
10.83,2.71,4.18,0.42,18.14,0.01,0.01,0.01,0.01
9.54,3.44,3.84,0.46,17.28,0.01,0.01,0.01,0.01
9.66,5.17,0.06,1.41,16.3,97,58,3722,8.1
8.41,5.49,0.47,1.78,16.15,95,62,736,8.7
6.06,3.9,5.38,0.5,15.85,0.01,0.01,0.01,0.01
3.43,5.35,5.32,1.18,15.29,77,37,19,7.1
5.51,3.18,5.66,0.8,15.14,0.01,0.01,0.01,0.01
6.85,5.09,1.87,1.16,14.98,95,54,314,8.4
5.39,4.37,4.36,0.8,14.92,0.01,0.01,0.01,0.01
6.08,5.95,0.36,2.41,14.8,0.01,0.01,0.01,0.01
9.06,4.26,0.13,1.33,14.77,88,81,8715,3.4
9.73,3.7,0.11,1.13,14.67,87,89,1456,6.3
