durmin,dur5,duravg,dur95,durmax,dursum,durdev,weimin,wei5,weiavg,wei95,weimax,weisum,weidev,depmin,dep5,depavg,dep95,depmax,depsum,depdev,accmin,acc5,accavg,acc95,accmax,accsum,accdev,resmin,res5,resavg,res95,resmax,ressum,resdev,loadrmin,loadr5,loadravg,loadr95,loadrmax,loadrsum,loadrdev,weiSumPF,weiSumLF,weiSumSF,weiSumOI,weiSumRatioPF,weiSumRatioLF,weiSumRatioSF,weiSumRatioOI,transSumPF,transSumLF,transSumSF,transSumOI,illegal
2,4,13.0439,32,82,5348,9.782663829,11.16,13.64,15.919976,17.25,18.67,6527.19,1.17676914,0,0,0,0,0,0,0,1,1,1.542,3,4,25,0.763,0,0,0.4,1,11,48,1.158,0.372,0.455,0.5306976,0.575,0.622,217.586,0.039204545,6527.19,0,0,0,1,0,0,0,410,0,0,0,FALSE
2,4,14.2882,31,107,20875,9.316684273,4.61,13.52,15.643292,17.16,17.45,22854.85,1.25198899,0,0,0.000452,0,0.66,0.66,0.017261167,1,1,1.656,3,5,37,0.702,0,0,0.288,1,4,82,0.661,0.154,0.451,0.5214497,0.572,0.582,761.838,0.041736253,22844.93,9.92,0,0,1,0,0,0,1459,2,0,0,FALSE
2,3,10.0853,24,54,12062,7.287875406,5.21,14.26,15.70658,17.11,17.41,18785.07,1.31284206,0,0,0.002308,0,0.36,2.76,0.025610126,1,1,1.306,2,3,24,0.528,0,0,1.028,4,21,185,2.197,0.174,0.475,0.5235418,0.57,0.58,626.156,0.043750154,18697.39,56.4,31.28,0,0.995,0.003,0.002,0,1184,10,2,0,FALSE
2,3,14.0725,35,79,12623,10.76734244,8.45,11.51,15.280736,16.56,17.18,13706.82,1.23723174,0,0,0,0,0,0,0,1,1,1.181,2,4,23,0.419,0,0,0.69,3,11,149,1.371,0.282,0.384,0.5093478,0.552,0.573,456.885,0.041234916,13706.82,0,0,0,1,0,0,0,897,0,0,0,FALSE
12,18,27.0833,44,44,325,10.48378377,15.15,15.29,15.635833,15.93,15.93,187.63,0.22332556,0,0,0,0,0,0,0,1,1,1.333,2,2,3,0.471,0,0,0.667,1,1,2,0.471,0.505,0.51,0.52125,0.531,0.531,6.255,0.007372528,187.63,0,0,0,1,0,0,0,12,0,0,0,FALSE
4,4,7.4201,13,28,3250,3.076907359,4.19,10.37,12.20605,14.46,18.21,5346.25,1.595525183,0,0,0.005251,0,0.57,2.3,0.049695933,1,1,1.178,2,3,22,0.408,0,0,2.574,16,41,260,6.117,0.14,0.346,0.4068607,0.482,0.607,178.205,0.053178568,5319.63,26.62,0,0,0.995,0.005,0,0,432,6,0,0,TRUE
3,5,7.8476,13,51,2111,3.940425755,7.06,10.41,12.52658,15.44,17.21,3369.65,1.739152096,0,0,0,0,0,0,0,1,1,1.211,2,2,14,0.408,0,0,5.456,33,86,311,13.632,0.235,0.347,0.4175316,0.515,0.574,112.316,0.058015476,3369.65,0,0,0,1,0,0,0,269,0,0,0,TRUE
4,5,8.838,15,60,6328,4.752712649,9.44,11.38,15.962821,17.12,17.3,11429.38,1.536657159,0,0,0,0,0,0,0,1,1,1.083,2,2,13,0.276,0,0,1.933,10,16,232,3.138,0.315,0.379,0.5320922,0.571,0.577,380.978,0.051213022,11429.38,0,0,0,1,0,0,0,716,0,0,0,TRUE
2,4,12.4018,37,57,5494,9.914815345,8.63,10.67,16.460406,17.47,17.66,7291.96,1.937640887,0,0,0,0,0,0,0,1,1,1.042,1,3,9,0.238,0,0,2.142,12,49,257,5.426,0.288,0.356,0.5486885,0.582,0.589,243.069,0.064572234,7291.96,0,0,0,1,0,0,0,443,0,0,0,TRUE
3,4,7.4758,17,45,6489,4.984364023,5.33,14.85,16.041947,17.52,17.73,13924.41,1.973834373,0,0,0.008318,0,0.54,7.22,0.053776122,1,1,1.192,2,3,31,0.408,0,0,1.068,6,22,189,2.532,0.178,0.495,0.5347281,0.584,0.591,464.144,0.065808459,13795.46,128.95,0,0,0.991,0.009,0,0,846,22,0,0,TRUE
