UDI,Target,Product,type,Air,Process,Rotationa2,Torque,Too2
1,0,114860,1,298.1,308.6,1551,42.8,0
2,0,247181,2,298.2,308.7,1408,46.3,3
3,0,247182,2,298.1,308.5,1498,49.4,5
4,0,247183,2,298.2,308.6,1433,39.5,7
5,0,247184,2,298.2,308.7,1408,40,9
6,0,114865,1,298.1,308.6,1425,41.9,11
7,0,247186,2,298.1,308.6,1558,42.4,14
8,0,247187,2,298.1,308.6,1527,40.2,16
9,0,114868,1,298.3,308.7,1667,28.6,18
10,0,114869,1,298.5,309,1741,28,21
11,0,329424,3,298.4,308.9,1782,23.9,24
12,0,329425,3,298.6,309.1,1423,44.3,29
13,0,114872,1,298.6,309.1,1339,51.1,34
14,0,114873,1,298.6,309.2,1742,30,37
15,0,247194,2,298.6,309.2,2035,19.6,40
16,0,247195,2,298.6,309.2,1542,48.4,42
17,0,114876,1,298.6,309.2,1311,46.6,44
18,0,114877,1,298.7,309.2,1410,45.6,47
19,0,329432,3,298.8,309.2,1306,54.5,50
20,0,114879,1,298.9,309.3,1632,32.5,55
21,0,329434,3,298.9,309.3,1375,42.7,58
22,0,247201,2,298.8,309.3,1450,44.8,63
23,0,114882,1,298.9,309.3,1581,30.7,65
24,0,247203,2,299,309.4,1758,25.7,68
25,0,114884,1,299,309.4,1561,37.3,70
26,0,247205,2,299,309.5,1861,23.3,73
27,0,247206,2,299.1,309.5,1512,39,75
28,0,329441,3,299.1,309.4,1811,24.6,77
29,0,247208,2,299.1,309.4,1439,44.2,82
30,0,247209,2,299,309.4,1693,30.1,84
31,0,114890,1,299.1,309.5,1339,48.2,86
32,0,247211,2,299,309.4,1798,25.5,89
33,0,247212,2,299,309.4,1419,48.3,91
34,0,247213,2,298.9,309.3,1665,32.5,93
35,0,114894,1,298.8,309.1,1559,34.7,95
36,0,114895,1,298.8,309.2,1452,48.6,98
37,0,114896,1,298.9,309.2,1581,36.7,101
38,0,247217,2,298.8,309.1,1439,39.2,104
39,0,329452,3,298.9,309.2,1379,50.7,106
40,0,247219,2,298.8,309.1,1350,52.5,111
41,0,247220,2,298.8,309.1,1362,45.4,113
42,0,247221,2,298.8,309.1,1368,50.8,115
43,0,114902,1,298.8,309.1,1368,49.1,117
44,0,329457,3,298.8,309.2,1372,48.5,120
45,0,114904,1,298.8,309.1,1472,47.5,125
46,0,247225,2,298.8,309.1,1489,49.1,128
47,0,114906,1,298.7,309,1843,25.8,130
48,0,247227,2,298.8,309.1,1418,46.3,133
49,0,329462,3,298.8,309.2,1425,53.9,135
50,0,114909,1,298.9,309.2,1412,44.1,140
51,1,247230,2,298.9,309.1,2861,4.6,143
52,0,247231,2,298.9,309.1,1383,54.9,145
53,0,329466,3,298.8,309,1497,43.8,147
54,0,247233,2,298.7,309,1565,35.1,152
55,0,247234,2,298.7,309,1691,30.1,154
56,0,247235,2,298.8,309.1,1512,40.7,156
57,0,247236,2,298.8,309.1,1477,42.4,158
58,0,247237,2,298.8,309.1,1513,40.3,160
59,0,114918,1,298.8,309,1661,29.5,162
60,0,247239,2,298.8,309.1,1378,54.4,165
61,0,247240,2,298.8,309.1,1393,52.6,167
62,0,114921,1,298.8,309,1592,38.2,169
63,0,247242,2,298.8,309,1829,22.9,172
64,0,114923,1,298.9,309,1812,25.9,174
65,0,247244,2,299,309.1,1523,38.6,177
66,0,247245,2,299,309.1,1394,45.1,179
67,0,114926,1,298.9,308.9,1679,28.7,181
68,0,329481,3,298.8,308.9,1466,44.1,184
69,0,247248,2,298.8,308.9,1527,32.4,189
70,1,247249,2,298.9,309,1410,65.7,191
71,0,114930,1,298.9,309,1924,22.6,193
72,0,247251,2,298.9,309.1,1452,45.5,196
73,0,247252,2,298.9,309.1,1369,44.4,198
74,0,247253,2,299,309.1,1592,35,200
75,0,247254,2,298.9,309,1601,32.3,202
76,0,247255,2,298.8,308.9,1379,46.7,204
77,0,247256,2,298.8,308.9,1461,47.9,206
78,1,247257,2,298.8,308.9,1455,41.3,208
79,0,247258,2,298.8,308.9,1398,51.5,0
80,0,247259,2,298.8,308.9,1402,37.9,2
81,0,329494,3,298.8,308.8,1445,49.9,4
82,0,247261,2,298.9,308.9,1450,47.5,9
83,0,247262,2,298.9,308.9,1453,40.8,11
84,0,247263,2,299,309,1469,40.1,13
85,0,247264,2,298.9,308.9,1422,47.6,15
86,0,114945,1,299,309,1804,26.8,17
87,0,329500,3,299,309,1436,43.9,20
88,0,247267,2,299,309,1544,31.8,25
89,0,114948,1,299,309,1419,45.2,27
90,0,114949,1,298.9,308.9,1487,39.5,30
91,0,247270,2,298.9,308.9,1753,25.8,33
92,0,247271,2,298.9,308.9,1830,24.9,35
93,0,114952,1,298.9,308.9,1727,27.1,37
94,0,247273,2,299.1,309,1450,43,40
95,0,247274,2,299,308.9,1622,31.9,42
96,0,114955,1,299,309,1351,52.2,44
97,0,114956,1,299,309,1575,35.3,47
98,0,114957,1,298.9,308.9,1750,29.9,50
99,0,247278,2,298.9,308.8,1529,32.7,53
100,0,247279,2,298.8,308.8,1523,44.4,55
101,0,247280,2,298.8,308.9,1852,25,57
102,0,247281,2,298.8,308.8,1991,20.7,59
103,0,247282,2,298.8,308.8,1555,40.6,61
104,0,114963,1,298.8,308.8,1441,40.5,63
105,0,247284,2,298.8,308.7,1450,43.4,66
106,0,247285,2,298.8,308.7,1591,31.1,68
107,0,247286,2,298.8,308.7,1445,48.5,70
108,0,114967,1,298.8,308.8,1497,46.8,72
109,0,329522,3,298.9,308.8,1621,32.7,75
110,0,247289,2,298.9,308.7,1572,34.1,80
111,0,247290,2,298.8,308.6,1872,22.5,82
112,0,329525,3,298.7,308.6,1499,43.5,84
113,0,114972,1,298.8,308.7,1498,39.5,89
114,0,114973,1,298.8,308.6,1486,41.9,92
115,0,247294,2,298.8,308.6,1680,29.4,95
116,0,247295,2,298.8,308.6,1431,45.7,97
117,0,247296,2,298.9,308.7,1564,34.1,99
118,0,247297,2,298.8,308.6,1599,33,101
119,0,114978,1,298.8,308.6,1707,28.1,103
120,0,247299,2,298.7,308.5,1467,40.7,106
121,0,247300,2,298.9,308.7,1433,44.7,108
122,0,247301,2,298.9,308.7,1558,41.2,110
123,0,247302,2,299,308.8,1310,50.7,112
124,0,247303,2,298.9,308.7,1546,43.4,114
125,0,247304,2,298.9,308.7,1727,29.4,116
126,0,247305,2,298.9,308.6,1560,32.2,118
127,0,247306,2,299,308.6,1329,60.5,120
128,0,247307,2,298.9,308.6,1413,46.5,122
129,0,247308,2,299,308.6,1587,38.6,124
130,0,247309,2,298.9,308.5,1559,34.3,126
131,0,247310,2,298.8,308.4,1473,41.1,128
132,0,247311,2,298.8,308.4,1737,27.7,130
133,0,114992,1,298.7,308.4,1441,43.2,132
134,0,114993,1,298.7,308.4,1430,49.6,135
135,0,247314,2,298.8,308.4,1369,53,138
136,0,114995,1,298.8,308.5,1711,28.5,140
137,0,329550,3,298.7,308.5,1420,45.7,143
138,0,247317,2,298.7,308.6,1297,55.3,148
139,0,329552,3,298.8,308.6,1449,49.4,150
140,0,247319,2,298.8,308.6,1268,55.8,155
141,0,247320,2,298.8,308.6,1511,36.1,157
142,0,247321,2,298.7,308.5,1544,35.2,159
143,0,115002,1,298.6,308.4,1778,28.2,161
144,0,329557,3,298.6,308.4,1407,50.5,164
145,0,115004,1,298.6,308.4,1391,42.4,169
146,0,247325,2,298.5,308.4,1513,33.6,172
147,0,329560,3,298.5,308.4,1612,36.1,174
148,0,247327,2,298.4,308.4,1515,40.1,179
149,0,115008,1,298.3,308.3,1379,48,181
150,0,247329,2,298.4,308.3,1473,39.9,184
151,0,247330,2,298.4,308.3,1422,42.7,186
152,0,115011,1,298.4,308.2,1463,37.6,188
153,0,115012,1,298.4,308.2,1584,41,191
154,0,247333,2,298.4,308.2,1850,27,194
155,0,247334,2,298.4,308.2,1528,36.2,196
156,0,329569,3,298.4,308.2,1987,19.8,198
157,0,115016,1,298.4,308.1,1495,46,203
158,0,329571,3,298.4,308.2,1478,43.5,206
159,0,115018,1,298.4,308.2,1499,40,211
160,0,247339,2,298.4,308.2,1471,47,214
161,1,247340,2,298.4,308.2,1282,60.7,216
162,1,247341,2,298.3,308.1,1412,52.3,218
163,0,247342,2,298.3,308.1,1586,35.5,0
164,0,115023,1,298.4,308.2,1468,43.8,2
165,0,115024,1,298.5,308.3,1440,43.6,5
166,0,247345,2,298.5,308.4,1733,26,8
167,0,329580,3,298.4,308.2,1612,32.6,10
168,0,329581,3,298.4,308.3,1458,42.9,15
169,1,247348,2,298.4,308.3,1433,62.3,20
170,0,247349,2,298.4,308.3,1318,59.1,22
171,0,115030,1,298.4,308.2,1610,35,24
172,0,247351,2,298.2,308.1,1462,50.8,27
173,0,115032,1,298.1,308,1924,20.8,29
174,0,115033,1,298.2,308,1591,33.7,32
175,0,247354,2,298.2,308.1,1306,58.3,35
176,0,247355,2,298.2,308.1,1382,43.5,37
177,0,247356,2,298.2,308.1,1618,34.7,39
178,0,247357,2,298.2,308.2,1988,21.4,41
179,0,247358,2,298.2,308.2,1436,50.2,43
180,0,247359,2,298.2,308.3,1304,49.8,45
181,0,247360,2,298.2,308.3,1475,49.9,47
182,0,329595,3,298.2,308.3,1824,24.2,49
183,0,115042,1,298.1,308.2,1342,48.1,54
184,0,247363,2,298.1,308.2,1485,40.7,57
185,0,247364,2,298.2,308.2,1667,30.6,59
186,0,247365,2,298.2,308.2,1446,38.2,61
187,0,247366,2,298.1,308.3,1301,56,63
188,0,247367,2,298.2,308.4,1379,43.1,65
189,0,247368,2,298.3,308.5,1606,33.6,67
190,0,115049,1,298.3,308.4,1539,43.4,69
191,0,247370,2,298.2,308.4,1477,49.9,72
192,0,247371,2,298.2,308.4,1666,34.6,74
193,0,329606,3,298.2,308.4,1398,51.8,76
194,0,329607,3,298.2,308.4,1678,34.6,81
195,1,115054,1,298.2,308.5,2678,10.7,86
196,0,247375,2,298.3,308.5,1453,42.9,89
197,0,329610,3,298.3,308.6,1432,49.5,91
198,0,115057,1,298.4,308.6,1527,40.9,96
199,0,247378,2,298.4,308.7,1588,35,99
200,0,247379,2,298.4,308.6,1433,47.1,101
201,0,247380,2,298.4,308.6,1609,35,103
202,0,247381,2,298.3,308.5,1575,41.2,105
203,0,115062,1,298.4,308.5,1636,35.7,107
204,0,247383,2,298.4,308.5,1490,37.9,110
205,0,247384,2,298.4,308.5,1741,32.8,112
206,0,115065,1,298.5,308.6,1344,53,114
207,0,247386,2,298.5,308.7,1609,35.3,117
208,1,115067,1,298.4,308.7,1421,60.7,119
209,0,247388,2,298.4,308.6,1591,36.7,122
210,0,247389,2,298.4,308.6,1477,44,124
211,0,247390,2,298.4,308.7,1523,36.1,126
212,0,247391,2,298.5,308.7,1575,33.9,128
213,0,329626,3,298.4,308.7,1344,52.9,130
214,0,247393,2,298.4,308.7,1386,44.9,135
215,0,115074,1,298.3,308.6,1589,37.1,137
216,0,247395,2,298.3,308.6,1548,40.3,140
217,0,247396,2,298.3,308.6,1499,38.3,142
218,0,247397,2,298.3,308.5,1664,31.6,144
219,0,247398,2,298.3,308.6,1447,38.1,146
220,0,115079,1,298.3,308.5,1434,46.2,148
221,0,247400,2,298.3,308.5,1416,52.7,151
222,0,329635,3,298.4,308.5,1827,24.3,153
223,0,247402,2,298.4,308.6,1304,45,158
224,0,247403,2,298.4,308.6,1569,34.4,160
225,0,247404,2,298.3,308.6,1584,29.3,162
226,0,247405,2,298.3,308.5,1362,53.8,164
227,0,247406,2,298.3,308.4,1329,49.2,166
228,0,247407,2,298.3,308.5,1539,36.1,168
229,0,115088,1,298.3,308.5,1629,37.1,170
230,0,247409,2,298.3,308.5,1538,32.2,173
231,0,247410,2,298.3,308.6,1570,34.8,175
232,0,247411,2,298.3,308.4,1408,43.1,177
233,0,247412,2,298.2,308.4,1424,47.6,179
234,0,247413,2,298.2,308.4,1512,34.9,181
235,0,247414,2,298.2,308.4,1478,42.9,183
236,0,115095,1,298.1,308.3,1680,33.7,185
