day,Classes,Temperature, RH, Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI
1,not fire   ,29,57,18,0,66,3,8,1,3,1
2,not fire   ,29,61,13,1,64,4,8,1,4,0
3,not fire   ,26,82,22,13,47,3,7,0,3,0
4,not fire   ,25,89,13,3,29,1,7,0,2,0
5,not fire   ,27,77,16,0,65,3,14,1,4,1
6,fire   ,31,67,14,0,83,6,22,3,7,3
7,fire   ,33,54,13,0,88,10,31,6,11,7
8,fire   ,30,73,15,0,87,12,38,6,14,7
9,not fire   ,25,88,13,0,53,8,39,0,11,0
10,not fire   ,28,79,12,0,73,10,46,1,13,1
11,fire   ,31,65,14,0,85,13,54,4,16,6
12,fire   ,26,81,19,0,84,14,61,5,18,7
13,not fire   ,27,84,21,1,50,7,17,1,7,0
14,not fire   ,30,78,20,1,59,5,8,1,4,0
15,not fire   ,28,80,17,3,49,3,7,0,3,0
16,not fire   ,29,89,13,1,36,2,8,0,2,0
17,not fire   ,30,89,16,1,37,1,8,0,2,0
18,not fire   ,31,78,14,0,57,2,8,1,2,0
19,not fire   ,31,55,16,0,80,5,16,3,5,1
20,not fire   ,30,80,16,0,60,3,27,1,5,0
21,fire   ,30,78,14,0,81,6,32,3,8,2
22,not fire   ,31,67,17,0,79,7,40,2,10,2
23,fire   ,32,62,18,0,81,8,48,3,12,4
24,fire   ,32,66,17,0,86,11,56,6,15,8
25,fire   ,31,64,15,0,87,14,64,6,18,8
26,fire   ,31,64,18,0,87,18,72,7,22,11
27,fire   ,34,53,18,0,89,22,80,9,26,15
28,fire   ,32,55,14,0,89,26,89,8,30,14
29,not fire   ,32,47,13,0,80,18,84,2,24,4
30,fire   ,33,50,14,0,89,23,93,7,28,13
1,not fire   ,29,68,19,1,60,3,9,1,3,0
2,not fire   ,27,75,19,1,56,2,8,1,3,0
3,not fire   ,32,76,20,1,63,3,9,1,3,1
4,not fire   ,33,78,17,0,80,5,19,3,6,2
5,fire   ,33,66,14,0,86,8,28,5,9,5
6,fire   ,32,63,14,0,87,11,37,6,13,7
7,not fire   ,35,64,18,0,80,10,40,3,12,3
8,fire   ,33,68,19,0,86,13,50,6,15,8
9,not fire   ,32,68,14,1,67,8,9,1,7,1
10,not fire   ,33,69,13,1,67,6,9,1,6,1
11,not fire   ,33,76,14,0,81,8,19,3,8,2
12,not fire   ,31,75,13,0,75,8,28,2,9,1
13,not fire   ,34,81,15,0,82,10,37,3,12,3
14,not fire   ,34,61,13,1,74,8,23,1,8,1
15,not fire   ,30,80,19,0,61,5,17,1,6,1
16,not fire   ,28,76,21,0,73,7,26,1,8,0
