UDI,Product,type,Air,Process,Rotationa2,Torque,Too2,Target
1,114860,1,298.1,308.6,1551,42.8,0,0
2,247181,2,298.2,308.7,1408,46.3,3,0
3,247182,2,298.1,308.5,1498,49.4,5,0
4,247183,2,298.2,308.6,1433,39.5,7,0
5,247184,2,298.2,308.7,1408,40,9,0
6,114865,1,298.1,308.6,1425,41.9,11,0
7,247186,2,298.1,308.6,1558,42.4,14,0
8,247187,2,298.1,308.6,1527,40.2,16,0
9,114868,1,298.3,308.7,1667,28.6,18,0
10,114869,1,298.5,309,1741,28,21,0
11,329424,3,298.4,308.9,1782,23.9,24,0
12,329425,3,298.6,309.1,1423,44.3,29,0
13,114872,1,298.6,309.1,1339,51.1,34,0
14,114873,1,298.6,309.2,1742,30,37,0
15,247194,2,298.6,309.2,2035,19.6,40,0
16,247195,2,298.6,309.2,1542,48.4,42,0
17,114876,1,298.6,309.2,1311,46.6,44,0
18,114877,1,298.7,309.2,1410,45.6,47,0
19,329432,3,298.8,309.2,1306,54.5,50,0
20,114879,1,298.9,309.3,1632,32.5,55,0
21,329434,3,298.9,309.3,1375,42.7,58,0
22,247201,2,298.8,309.3,1450,44.8,63,0
23,114882,1,298.9,309.3,1581,30.7,65,0
24,247203,2,299,309.4,1758,25.7,68,0
25,114884,1,299,309.4,1561,37.3,70,0
26,247205,2,299,309.5,1861,23.3,73,0
27,247206,2,299.1,309.5,1512,39,75,0
28,329441,3,299.1,309.4,1811,24.6,77,0
29,247208,2,299.1,309.4,1439,44.2,82,0
30,247209,2,299,309.4,1693,30.1,84,0
31,114890,1,299.1,309.5,1339,48.2,86,0
32,247211,2,299,309.4,1798,25.5,89,0
33,247212,2,299,309.4,1419,48.3,91,0
34,247213,2,298.9,309.3,1665,32.5,93,0
35,114894,1,298.8,309.1,1559,34.7,95,0
36,114895,1,298.8,309.2,1452,48.6,98,0
37,114896,1,298.9,309.2,1581,36.7,101,0
38,247217,2,298.8,309.1,1439,39.2,104,0
39,329452,3,298.9,309.2,1379,50.7,106,0
40,247219,2,298.8,309.1,1350,52.5,111,0
41,247220,2,298.8,309.1,1362,45.4,113,0
42,247221,2,298.8,309.1,1368,50.8,115,0
43,114902,1,298.8,309.1,1368,49.1,117,0
44,329457,3,298.8,309.2,1372,48.5,120,0
45,114904,1,298.8,309.1,1472,47.5,125,0
46,247225,2,298.8,309.1,1489,49.1,128,0
47,114906,1,298.7,309,1843,25.8,130,0
48,247227,2,298.8,309.1,1418,46.3,133,0
49,329462,3,298.8,309.2,1425,53.9,135,0
